Dictionary	Ranker	Mean	SD	Failure Rate (%)
data/dracos_github_words.txt	RandomRanker(1)	3.656442	1.017518	13.527851
data/dracos_github_words.txt	LetterRanker()	4.000000	0.899922	24.668435
data/dracos_github_words.txt	SubstringRanker(2)	3.628743	0.918806	11.405836
data/dracos_github_words.txt	SubstringRanker(3)	3.603550	0.934031	10.344828
data/dracos_github_words.txt	DuplicateRanker(LetterRanker(),100,7)	3.269122	0.936260	6.366048
data/dracos_github_words.txt	DuplicateRanker(SubstringRanker(2),100,7)	3.346591	0.982396	6.631300
data/dracos_github_words.txt	DuplicateRanker(SubstringRanker(3),100,7)	3.317003	1.031394	7.957560
data/dracos_github_words.txt	DuplicateRanker(LetterRanker(),100,2)	3.508876	0.988803	10.344828
data/dracos_github_words.txt	DuplicateRanker(SubstringRanker(2),100,2)	3.478386	0.973108	7.957560
data/dracos_github_words.txt	DuplicateRanker(SubstringRanker(3),100,2)	3.378613	1.022015	8.222812
data/dracos_github_words.txt	DuplicateRanker(LetterRanker(),100,3)	3.423729	1.031209	6.100796
data/dracos_github_words.txt	DuplicateRanker(SubstringRanker(2),100,3)	3.413105	1.017090	6.896552
data/dracos_github_words.txt	DuplicateRanker(SubstringRanker(3),100,3)	3.364672	1.039562	6.896552
data/dracos_github_words.txt	PositionRanker()	3.515850	0.976176	7.957560
data/dracos_github_words.txt	DuplicateRanker(PositionRanker(),100,7)	3.277620	0.959215	6.366048
data/dracos_github_words.txt	DuplicateRanker(PositionRanker(),100,2)	3.424419	0.988355	8.753316
data/dracos_github_words.txt	DuplicateRanker(PositionRanker(),100,3)	3.424069	1.045166	7.427056
data/dracos_github_words.txt	WordFrequencyRanker(DuplicateRanker(LetterRanker(),100,7),"data/five_letter_freq.csv")	2.991870	1.039824	2.122016
data/dracos_github_words.txt	WordFrequencyRanker(DuplicateRanker(LetterRanker(),100,3),"data/five_letter_freq.csv")	2.981030	1.023924	2.122016
data/dracos_github_words.txt	WordFrequencyRanker(DuplicateRanker(SubstringRanker(2),100,7),"data/five_letter_freq.csv")	2.935135	1.000599	1.856764
